,Flight No.,Launch site,Payload mass,Orbit,Customer,Version Booster,Date,Time,Class
0,1,CCAFS,0,LEO,SpaceX,F9 v1.0B0003.1,4 June 2010,18:45,0
1,2,CCAFS,0,LEO,NASA (COTS)NRO,F9 v1.0B0004.1,8 December 2010,15:43,0
2,3,CCAFS,525,LEO,NASA (COTS),F9 v1.0B0005.1,22 May 2012,07:44,0
3,4,CCAFS,4700,LEO,NASA (CRS),F9 v1.0B0006.1,8 October 2012,00:35,0
4,5,CCAFS,4877,LEO,NASA (CRS),F9 v1.0B0007.1,1 March 2013,15:10,0
5,6,VAFB,500,Polar orbit,MDA,F9 v1.1B1003,29 September 2013,16:00,0
6,7,CCAFS,3170,GTO,SES,,3 December 2013,22:41,0
7,8,CCAFS,3325,GTO,Thaicom,,6 January 2014,22:06,0
8,9,Cape Canaveral,2296,LEO,NASA (CRS),,18 April 2014,19:25,0
9,10,Cape Canaveral,1316,LEO,Orbcomm,,14 July 2014,15:15,0
10,11,Cape Canaveral,4535,GTO,AsiaSat,,5 August 2014,08:00,0
11,12,Cape Canaveral,4428,GTO,AsiaSat,F9 v1.1,7 September 2014,05:00,0
12,13,Cape Canaveral,2216,LEO,NASA (CRS),F9 v1.1,21 September 2014,05:52,0
13,14,Cape Canaveral,2395,LEO,NASA (CRS),F9 v1.1,10 January 2015,09:47,0
14,15,Cape Canaveral,570,HEO,USAFNASANOAA,F9 v1.1,11 February 2015,23:03,0
15,16,Cape Canaveral,4159,GTO,ABSEutelsat,F9 v1.1,2 March 2015,03:50,0
16,17,Cape Canaveral,1898,LEO,NASA (CRS),F9 v1.1,14 April 2015,20:10,0
17,18,Cape Canaveral,4707,GTO,Turkmenistan NationalSpace Agency[88],F9 v1.1,27 April 2015,23:03,0
19,20,Cape Canaveral,2034,LEO,Orbcomm,F9 FT,22 December 2015,01:29,1
20,21,VAFB,553,LEO,NASA (LSP)NOAACNES,F9 v1.1,17 January 2016,18:42,0
21,22,Cape Canaveral,5271,GTO,SES,F9 FT,4 March 2016,23:35,0
22,23,Cape Canaveral,3136,LEO,NASA (CRS),F9 FT,8 April 2016,20:43,1
23,24,Cape Canaveral,4696,GTO,SKY Perfect JSAT Group,F9 FT,6 May 2016,05:21,1
24,25,Cape Canaveral,3100,GTO,Thaicom,F9 FT,27 May 2016,21:39,1
25,26,Cape Canaveral,3600,GTO,ABSEutelsat,F9 FT,15 June 2016,14:29,0
26,27,Cape Canaveral,2257,LEO,NASA (CRS),F9 FT,18 July 2016,04:45,1
27,28,Cape Canaveral,4600,GTO,SKY Perfect JSAT Group,F9 FT,14 August 2016,05:26,1
28,29,VAFB,9600,Polar,Iridium Communications,F9 FT,14 January 2017,17:54,1
29,30,KSC,2490,LEO,NASA (CRS),F9 FT,19 February 2017,14:39,1
30,31,KSC,5600,GTO,EchoStar,F9 FT,16 March 2017,06:00,0
31,32,KSC,5300,GTO,SES,F9 FT♺,30 March 2017,22:27,1
32,33,KSC,123456789,LEO,NRO,F9 FT,1 May 2017,11:15,1
33,34,KSC,6070,GTO,Inmarsat,F9 FT,15 May 2017,23:21,0
34,35,KSC,2708,LEO,NASA (CRS),F9 FT,3 June 2017,21:07,1
35,36,KSC,3669,GTO,Bulsatcom,F9 FTB1029.2,23 June 2017,19:10,1
36,37,VAFB,9600,LEO,Iridium Communications,F9 FT,25 June 2017,20:25,1
37,38,KSC,6761,GTO,Intelsat,F9 FT,5 July 2017,23:38,0
38,39,KSC,3310,LEO,NASA (CRS),F9 B4,14 August 2017,16:31,1
39,40,VAFB,475,SSO,NSPO,F9 FT,24 August 2017,18:51,1
40,41,KSC,4990,LEO,USAF,F9 B4,7 September 2017,14:00,1
41,42,VAFB,9600,Polar,Iridium Communications,F9 B4,9 October 2017,12:37,1
42,43,KSC,5200,GTO,SES S.A.EchoStar,F9 FTB1031.2,11 October 2017,22:53:00,1
43,44,KSC,3500,GTO,KT Corporation,F9 B4,30 October 2017,19:34,1
44,45,Cape Canaveral,2205,LEO,NASA (CRS),F9 FTB1035.2,15 December 2017,15:36,1
45,46,VAFB,9600,Polar,Iridium Communications,F9 FTB1036.2,23 December 2017,01:27,0
46,47,CCAFS,123456789,LEO,Northrop Grumman [f][238],F9 B4,8 January 2018,01:00,1
47,48,CCAFS,4230,GTO,SES,F9 FTB1032.2,31 January 2018,21:25,0
48,49,VAFB,2150,SSO,HisdesatexactEarthSpaceX,F9 FTB1038.2,22 February 2018,14:17,0
